publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Marvel,Daredevil (1964-1998),Daredevil Masterworks Vol. 12,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598315/598315._SX360_QL80_TTD_.jpg,"Collects Daredevil (1964) #120-132 and material from FOOM (1973) #13.

The Man Without Fears life is about to change forever. Bullseye is coming. The countdown begins when Daredevil, Black Widow and Nick Fury unite to battle a renewed Hydra. In the aftermath, Black Widow leaves and a new love interest, Heather Glenn, enters, but Matt Murdocks growing obsession with his life as Daredevil puts their budding relationship at risk. The drama continues with Death-Stalker, the Torpedo, a destructive day in court for Man-Bull and the opening of Murdock and Nelsons storefront law practice. Last, but certainly not least: Marv Wolfman, Bob Brown and iconic Daredevil inker/finisher Klaus Janson unleash one of comics most iconic adversaries. Its the first appearance of Bullseye, the madman with perfect aim and no mercy.","Tony Isabella, Len Wein, Marv Wolfman","Bob Brown, Gene Colan",,,282 Pages,January 10 2018
Marvel,Despicable Deadpool (2017-),Despicable Deadpool (2017-) #292,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/597975/597975._SX360_QL80_TTD_.jpg,"BUCKET LIST begins! Deadpool has a lot of unfinished business in his inbox, and hes determined to take care of it before…any sort of bad and permanent-ish thing happens to him. Revenge on Stevil Rogers? Settling things with Rogue? Oh, and doesnt he still need to kill a few more folks? Its time to get Wades affairs in order. You know, just in case…",Gerry Duggan,Matteo Lolli,,,23 Pages,January 10 2018
Marvel,Doctor Strange (2015-),Doctor Strange Vol. 5: Secret Empire,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598360/598360._SX360_QL80_TTD_.jpg,"Collects Doctor Strange (2015) #21-26.

The Sorcerer Supreme suffers SECRET EMPIRE! New York City is under attack by dark forces, and only Doctor Strange can save it — but its a long shot. And to have any hope at all, Strange and Spider-Woman must strike an uneasy alliance with Wilson Fisk, A.K.A. the Kingpin of Crime. Together, theyll take the fight to Baron Mordo! But even if they win, are they ready for the Hydra-occupied America waiting outside of the Darkforce-domed Manhattan? Plus: A mysterious foe barely defeated in the past returns to haunt a much weaker Strange in the present! An evil like youve never seen — could this be the final house call for Doctor Strange and Zelma?","John Barber, Dennis Hopeless","Niko Henrichon, Kevin Nowlan",,,152 Pages,January 10 2018
Marvel,"Gwenpool, The Unbelievable (2016-)",This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598010/598010._SX360_QL80_TTD_.jpg,LOST IN THE PLOT PART 1 Gwens got a new bag of woes shes battling and it looks like time is not on her side…But when lifes got you down you can always turn to your friends! Especially one who plans on robbing one of Manhattans high-class casinos! Gwenpool and Batroc--back together at last!,Christopher Hastings,Gurihiru,,,23 Pages,January 10 2018
Marvel,Incredible Hulk (1962-1999),Incredible Hulk Epic Collection: Fall of the Pantheon,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598375/598375._SX360_QL80_TTD_.jpg,"Collects Tales To Astonish (1994) #1, Incredible Hulk vs. Venom #1, Incredible Hulk (1968) #420-435.

Hulk goes to Hel and back! First, Hulk and the Pantheon face a painful — and all too human — loss. But Hela herself soon claims the Hulk in an Asgardian underworld epic! Then, its the end of an era as the Pantheon is torn apart from within! Agamemnon stands trial, one among them falls and the Hulks rage transforms him into a savage…Bruce Banner?! While Doc Samson strives to save Bruces mind, Betty battles for her life — and the stage is set for a new status quo. In hiding and struggling to remain calm, the Hulk takes on Man-Thing, the Abomination and the Punisher! Plus: Hulk shares a symbiotic showdown with Venom and joins Hank Pym and the Wasp in a true Tale to Astonish!",Peter David,"Justiniano, Jim Craig, Terry Dodson, John Estes, Gary Frank, Chris Renaud, Darick Robertson, Liam Sharp",,,491 Pages,January 10 2018
Marvel,Marvels Black Panther Prelude (2017),Marvels Black Panther Prelude,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598390/598390._SX360_QL80_TTD_.jpg,"Collects Marvels Black Panther Prelude #1-2, Black Panther (2005) #2, Black Panther (2016) #1 and material from Jungle Action #6-7 & Black Panther (1998) #19.

Wakanda. The most technologically advanced nation in the world — and protected by the mighty Black Panther! Now, learn how T’Challa became the legendary hero of his homeland in an all-new tale set in the Marvel Cinematic Universe! See how the mantle was passed to the future king at a time when super heroes were just emerging in the larger world. But can the new monarch defeat the merciless mercenary Zanda? Plus: Classic Panther tales by all-time great creators! Ferocious villain Erik Killmonger fuels the Panther’s rage! Familiar friends and foes play their part including Everett K. Ross, the deadly Dora Milaje and T’Challa’s archfoe, Klaw! And the future of Wakanda is here as a revolution begins!","Ta-Nehisi Coates, Reginald Hudlin, Donald McGregor, Will Corona Pilgrim, Christopher Priest","Rich Buckler, Tomm Coker, Annapaola Martello, John Romita Jr., Brian Stelfreeze",,,144 Pages,January 10 2018
Marvel,Ms. Marvel (2015-),Ms. Marvel (2015-) #26,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598095/598095._SX360_QL80_TTD_.jpg,"TEENAGE WASTELAND PART 2! An OLD ENEMY has returned…with a monstrous new trick to boot! Will MS. MARVEL be in time to save the day, or will her new life keep her away from the city she loves?",G. Willow Wilson,Nico Leon,,,23 Pages,January 10 2018
Marvel,Old Man Hawkeye (2018-),Old Man Hawkeye (2018-) #1 (of 12),https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598100/598100._SX360_QL80_TTD_.jpg,"The super heroes have fallen.  The country has been divided into territories controlled by super villains.  Among the wastelands lives CLINT BARTON – one of the few Avengers to survive.  But its been 45 years, and hes no Avenger.  Trying to eke out a living anyway he can, the former HAWKEYE is confronted with a startling discovery:  the sharpshooter is going blind.  With time running short, Clint realizes theres one last thing he wants to see: revenge for his fallen comrades-in-arms. Rising-star writer ETHAN SACKS and superstar artist MARCO CHECCHETTO take you back to the Wastelands in a story set five years before the original classic OLD MAN LOGAN.",Ethan Sacks,Marco Checchetto,,,23 Pages,January 10 2018
Marvel,Old Man Logan (2016-),Old Man Logan (2016-) #33,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598105/598105._SX360_QL80_TTD_.jpg,SCARLET SAMURAI Part 3! THE HAND are unstoppable (and unkillable?!)! Whats the SCARLET SAMURAI really after? LOGAN must relive one of his most painful memories in order to survive!,Ed Brisson,Mike Deodato Jr.,,,23 Pages,January 10 2018
Marvel,Phoenix Resurrection: The Return Of Jean Grey (2017-2018),This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598125/598125._SX360_QL80_TTD_.jpg,"Beast doesnt know how or what shape it will take, but he knows they are running out of time before the Phoenix makes its true presence known.",Matt Rosenberg,Joe Bennett,,,23 Pages,January 10 2018
Marvel,Runaways (2017-),This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598155/598155._SX360_QL80_TTD_.jpg,"In classic RUNAWAYS fashion, things arent going according to plan. Chase starts a new project that will shock you. Molly has to make an impossible choice. And Nicos super-power feels more like a prison with every spell she casts.",Rainbow Rowell,Kris Anka,,,22 Pages,January 10 2018
Marvel,Secret Warriors (2017-2018),This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598160/598160._SX360_QL80_TTD_.jpg,THE FATE OF THE SECRET WARRIORS WILL BE DECIDED…by a roll of the dice! Clandestine meetings predicated on lies! Teammates-turned-enemies brought face-to-face! A hero will break all the rules – but will it be enough to win?,Matt Rosenberg,"Javier Garron, Will Robson",,,24 Pages,January 10 2018
Marvel,Hulk (2016-),She-Hulk (2016-) #161,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598165/598165._SX360_QL80_TTD_.jpg,"JEN WALTERS MUST DIE Part 3! Kidnapped by a deranged fan – who also happens to be in cahoots with Jens oldest enemy, THE LEADER? You call it LEGACY, Jen calls it Monday. Is it the worst thing thats ever happened to Jen? Maybe not. But Jens about to lose control and everything is about to get way worse.",Mariko Tamaki,Jahnoy Lindsay,,,23 Pages,"JEN WALTERS MUST DIE Part 3! Kidnapped by a deranged fan – who also happens to be in cahoots with Jens oldest enemy, THE LEADER? You call it LEGACY, Jen calls it Monday. Is it the worst thing thats ever happened to Jen? Maybe not. But Jens about to lose control and everything is about to get way worse."
Marvel,Hulk (2016-),She-Hulk Vol. 2: Let Them Eat Cake,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598415/598415._SX360_QL80_TTD_.jpg,"Collects Hulk (2016) #7-11.

Jennifer Walters is only just getting used to her hulking new alter ego when an internet-famous cooking-show host transforms into a hideous monster — on camera! Now, Jen must come to terms with her own savage side in time to help. Can she find an antidote to the transformation before the drug that caused it hits the streets — and its horrific effects start to spread? Maybe with a little help from Patsy Walker, A.K.A. Hellcat! Faced with a wave of monsters, Jen cant help but be pulled into the craziness as a force for good. Is She-Hulk back? Or is the Hulk a new breed of hero? And what will the answers mean for Jennifer Walters?",Mariko Tamaki,"Sebastian Carrillo, Georges Duarte, Francesco Gaston, Julian Lopez",,,117 Pages,"
Jennifer Walters is only just getting used to her hulking new alter ego when an internet-famous cooking-show host transforms into a hideous monster — on camera! Now, Jen must come to terms with her own savage side in time to help. Can she find an antidote to the transformation before the drug that caused it hits the streets — and its horrific effects start to spread? Maybe with a little help from Patsy Walker, A.K.A. Hellcat! Faced with a wave of monsters, Jen cant help but be pulled into the craziness as a force for good. Is She-Hulk back? Or is the Hulk a new breed of hero? And what will the answers mean for Jennifer Walters?"
Marvel,Spider-Man/Deadpool (2016-),This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598180/598180._SX360_QL80_TTD_.jpg,"Peter Parker and Wade Wilson are in their eighties and live in the same nursing home. Wait, WHAT?! The madness of this book gets a brief interlude in the form of a story from the future! But this is not a throwaway issue! This issue is the first prelude to the biggest Spider-Man and Deadpool story of all time that will come to fruition in JULY OF 2018! DO NOT MISS IT!",Robbie Thompson,Scott Hepburn,,,23 Pages,January 10 2018
Marvel,The Punisher (2016-),The Punisher (2016-) #220,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598230/598230._SX360_QL80_TTD_.jpg,"Franks torn through General Petrovs soldiers and tanks, but an even deadlier force has Frank in their sights. A trap is set, with innocent lives on the line. Can Frank save the endangered civilians? Can he even save himself?",Matt Rosenberg,Guiu Vilanova,,,24 Pages,January 10 2018
Marvel,The Unbeatable Squirrel Girl (2015-),The Unbeatable Squirrel Girl (2015-) #28,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598235/598235._SX360_QL80_TTD_.jpg,"THE FORBIDDEN PLA-NUT PART 2 Nancy (human, no powers) and Tippy-Toe (squirrel, no powers) have been kidnapped! Trapped on an alien world filled with alien squirrels, they have only a short amount of time to figure out something – ANYTHING – before EVERYBODY DIES. But thats okay, because Squirrel Girl will rescue them, right? Id love to say, ""Yes, absolutely,"" but instead I am forced to say, ""No way, shes trapped on Earth, she barely knows where they are, and she has to defeat THE DREAD DORMAMMU before she can go anywhere!"" And with LOKI standing in as Sorcerer Supreme, its not like this battle is going to be A) easy or B) at all winnable. Thats right: Lokis back, baby! Can CAT THOR be far behind?",Ryan North,Erica Henderson,,,24 Pages,January 10 2018
Marvel,Thor (1966-1996),Thor by Walter Simonson Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598435/598435._SX360_QL80_TTD_.jpg,"Collects Thor (1966) #346-355.

Few people have ever left their mark on one character quite the way Walter Simonson has. His work on the Mighty Thor swept the Norse God of Thunder to heights never before seen and rarely achieved in his wake. Spanning epic tales of heroism and treachery, love and war, Simonsons work is often considered the definitive Thor. From the majesty and mystery of fabled Asgard to the gritty streets of New York City, Thor was never the same. That is the mark of a true visionary. This second volume continues the collection of Simonsons epic run — completely remastered from the original artwork and dynamically recolored by Steve Oliff.",Walt Simonson,"Sal Buscema, Walt Simonson",,,241 Pages,January 10 2018
Marvel,Venom (2016-),Venom (2016-) #160,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598240/598240._SX360_QL80_TTD_.jpg,"VENOM INC. Part 5 Spider-Man and Venom continue their uneasy alliance as they work to stop Maniac from taking over New Yorks criminal underworld! Its outright mayhem as the heroes mount a counteroffensive and take the fight to Maniac! But with an unleashed symbiote and an army at his command, will it be enough?! (Hint: Probably not, True Believer!)",Mike Costa,Gerardo Sandoval,,,23 Pages,January 10 2018
Marvel,Vision: Directors Cut (2017),Vision: The Complete Series,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598330/598330._SX360_QL80_TTD_.jpg,"Collects Vision Directors Cut #1-6.

WINNER OF 2017 Eisner AWARD for Best Limited Series!  One of the most celebrated comic books of the century, collected alongside an expansive array of special features! Vision wants to be human, and whats more human than family? So he heads back to the beginning — to the laboratory where Ultron created him as a weapon. The place where he first rebelled against his destiny and imagined that he could be more — that he could be a man. There, he builds them. A wife, Virginia. Teenage twins, Viv and Vin. They look like him. They have his powers. They share his grandest ambition — or obsession? — the unrelenting need to be ordinary. Behold the Visions! Theirs is a story of togetherness and tragedy — one that will set the Android Avenger on course for a devastating confrontation with Earths Mightiest Heroes.",Tom King,"Michael Walsh, Gabriel Hernandez Walta",,,484 Pages,January 10 2018
Marvel,X-Men Blue (2017-),X-Men Blue (2017-) #19,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598250/598250._SX360_QL80_TTD_.jpg,"CROSS-TIME CAPERS Part 3 The timestream is in ruins... And it is the fault of the X-MEN! Can the X-Men fix everything that has gone wrong...even if it means battling against themselves? At long last, the original X-Men are reunited with PROFESSOR X!",Cullen Bunn,R. B. Silva,,,20 Pages,January 10 2018
Marvel,X-Men Gold (2017-),X-Men Gold (2017-) Annual #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598275/598275._SX360_QL80_TTD_.jpg,THIRTIETH ANNIVERSARY EXCALIBUR REUNION! A brand-new Braddock bundle of joy! The return of a DBari hero! Kittys Shadowcat costume! Nuff said!,"Marc Guggenheim, Leah Williams",Alitha Martinez,,,34 Pages,January 10 2018
Titan,Doctor Who: The Eleventh Doctor,Doctor Who: The Eleventh Doctor #3.13,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/581347/581347._SX360_QL80_TTD_.jpg,The third year of the Eleventh Doctor comes to a fiery conclusion! Can the Sapling escape its destiny? Will the scream be remembered? Will Alice make it out alive?,"Alex Paknadel, Rob Williams",I.N.J. Culbard,,Triona Farrell,28 Pages,December 13 2017
Titan,Normandy Gold,Normandy Gold #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/565270/565270._SX360_QL80_TTD_.jpg,"When her younger sister becomes the center of a brutal murder case, tough-as-nails Sheriff Normandy Gold is forced to dive head-first into the seedy world of 1970s prostitution in Washington DC.","Megan Abbott, Alison Gaylin",Steve Scott,,Lovern Kindzierski,30 Pages,November 22 2017
Titan,The Lost Fleet: Corsair,The Lost Fleet: Corsair #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/565380/565380._SX360_QL80_TTD_.jpg,"It a battle in space and on two worlds when the Tigres and the Alliance Marines attack a prison camp to rescue their lost comrades - and get past a Syndic fleet! On Kane, the Syndic attack brings terror and misery - will Michael Geary’s alliance with Destina Aragon hold and give the beleagured world some small hope of rescue?",Jack Campbell,Andre Siregar,Bambang Irawan,Sebastian Chang,30 Pages,October  4 2017
Titan,Millennium,The Girl Who Kicked The Hornets Nest #3.2: Millennium,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/597760/597760._SX360_QL80_TTD_.jpg,"The Millennium saga concludes!nLisbeth Salander is in critical condition, and facing trial for a triple murder, and the only one who can save her is her friend, journalist Mikael Blomkvist.",Sylvain Runberg,Manolo Carot,,,67 Pages,January 10 2018
Titan,Fighting American,Fighting American #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/597765/597765._SX360_QL80_TTD_.jpg,Direct continuation of Simon and Kirby’s classic 1950s series!nOur heroes find themselves trapped in the modern world with new villains to contend with and enemies from their past pursuing them!,Gordon Rennie,"Francisco Rodriguez de la Fuente, Duke Mighten",,,29 Pages,January 10 2018
Titan,Assassins Creed: Uprising,Assassins Creed: Uprising Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/597840/597840._SX360_QL80_TTD_.jpg,"With a world-ending threat on the horizon, the Assassins are forced into an alliance with master Templar Otso Berg. Meanwhile, Charlotte heads into the memories of her anarchist ancestor, with the hopes of turning the tide.n""Smart, detailed, and energetic… accessible to newbies and Assassins Creed fans alike."" – Comics Anonymousn""Its right on the money, and worth yours."" – Bleeding Cooln""Action-packed!"" – Hulking Reviewer","Alex Paknadel, Dan Watters",Jose Holder,,Marco Lesko,104 Pages,January 10 2018
Titan,Doctor Who: The Tenth Doctor,Doctor Who: The Tenth Doctor - Facing Fate Volume 2: Vortex Butterflies Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627424/627424._SX360_QL80_TTD_.jpg,"""Absolutely brilliant – gorgeous illustrations and a knockout story 10/10!"" – Blogtor Who

""Fantastic! 10/10!"" – Kabooooom

""Exhilarating reading!"" – Snappow

All-new adventures with the Tenth Doctor!

The Doctor has abandoned his crew to chase a mysterious message into deep space! As Cindy recovers from the splitting headache she developed on her most recent adventure, Gabbys mysterious block-transfer butterfly powers evolve even further. But will the team ever be reunited? And what secrets will the Doctor find waiting for him, out in the cosmic dark?

The Doctor, Gabby, and Cindy face more challenges than ever before! Award-winning writer Nick Abadzis (Pigs Might Fly) and incredible artists Giorgia Sposito (Wonderland) and Iolanda Zanfardino steers the TARDIS crew through another turbulent chapter in the Doctors ongoing story!

Collects Doctor Who: The Tenth Doctor #3.6-8 & #3.10.",Nick Abadzis,Giorgia Sposito,,Arianna Florean,113 Pages,January 10 2018
Valiant,Harbinger Renegade,Harbinger Renegade Vol. 2: Massacre Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/616591/616591._SX360_QL80_TTD_.jpg,"MASSACRE brings death to a major Valiant hero!   Toyo Haradas former protege – Alexander Solomon, a ""psiot"" with the ability to predict and analyze potential futures – has been waiting for this moment. With the Harbinger Renegades – Peter Stanchek, Faith, Kris Hathaway, and Torque – now reunited as a result of his covert manipulations, his ultimate gambit can now begin. But hes not the only one who has been watching. Major Charlie Palmer has just re assigned a new division of the militarized psiot hunters codenamed H.A.R.D. Corps to active duty… and theyre about to bring a torrent of blood and calamity roaring into the streets of a major American metropolis for an all-out firefight.   Harvey Award-nominated writer Rafer Roberts (Plastic Farm) and superstar artist Darick Robertson (The Boys, Transmetropolitan) begin THE ROAD TO HARBINGER WARS 2 – right here with a bang that will reverberate throughout the entire Valiant Universe…and claim the life of a major hero!   Collecting HARBINGER RENEGADE #5-8 and #0.",Rafer Roberts,"Darick Robertson, Juan Jose Ryp",,,139 Pages,January 10 2018
Valiant,Bloodshot Salvation,Bloodshot Salvation #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/616576/616576._SX360_QL80_TTD_.jpg,"Somethings wrong with Baby Jessie!   NOW: As nanites overwrite her biology, Bloodshot’s newborn daughter is about to take a turn for the worse…just as her father is forced to confront the truth about a deranged cultist with a dark connection to their own family.   THEN: In the near future, as Rampage’s nationwide campaign of terror escalates, Magic’s search for salvation points her farther away than she ever could have imagined… To the year 4001 A.D.!   “THE BOOK OF REVENGE” shall bind them both as New York Times best-selling writer Jeff Lemire (BLOODSHOT REBORN, Black Hammer) and superstar artists Lewis LaRosa (BLOODSHOT REBORN) and Mico Suayan (BLOODSHOT REBORN) rush toward an inescapable turning point in Bloodshot’s legacy of violence!",Jeff Lemire,"Lewis Larosa, Mico Suayan",,,33 Pages,January 10 2018
Action Lab,Force,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620967/620967._SX360_QL80_TTD_.jpg,"As a rookie QB takes the helm for the Tennessee Boxers during the biggest game of the season, injured starting QB Terrance Wright is in the locker room, contemplating a decision to get back on the field that could possibly end up permanently damaging his body and career. Will the Boxers come from behind to defeat the Skyhawks? And what secret is Terrance’s girlfriend, Cassie hiding from him? Watch the drama unfold at Supreme Bowl XXVII in the epic conclusion of FORCE!","Shawn Pryor, B. Alex Thompson",J. Reed,,,33 Pages,January 10 2018
Action Lab,Jupiter Jet,Jupiter Jet #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620972/620972._SX360_QL80_TTD_.jpg,Teenage hero Jupiter Jet must push her jetpack to the limit in order to outrun the villainous Praetor Pluto who is hot on her heels! But will a new invention built by her brother Chuck help Jupiter Jets mission or harm it?,"Jason Inman, Ashley Victoria Robinson",Ben Matsuya,,Mara Jayne Carpenter,25 Pages,January 10 2018
Caliber Comics,Merlin: The Legend Begins,Merlin: The Legend Begins,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/581601/581601._SX360_QL80_TTD_.jpg,"Collects issues 1-6.

Before there was King Arthur, Camelot, and the Knights of the Round Table, there was Merlin. In the year 410 A.D., a divided and decaying Rome calls the last of her occupying forces from the island of Britain. With the Roman legions gone, British warlords and foreign invaders alike begin to battle for control of the small isle. In the region known today as Wales, one warlord at last gains enough prominence to take the title ""King."" His name is Vortigern. It is the tenth year of his reign, 435 A.D., and that is where our story begins...",R.A. Jones,"Rob Davis, Bradley Keough, Bruce McCorkindale",,,170 Pages,January 10 2018
Fantagraphics,Trumps ABC,Trumps ABC,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/547781/547781._SX360_QL80_TTD_.jpg,"One Clinton, two Bushes, and an Obama were mere warm-ups for a President who is truly worthy of Pulitzer-Prize-winner Ann Telnaess excoriating satirical skills. The election of Donald Trump has inspired Telnaes to chronicles the high points (or low points, if theres a difference) of Donald Trumps first six months in office. Written in a sing-songy rhyme and drawn in her beguilingly impeccable ink line, each page is a miniature critique and expose of Donald Trump and his janissaries, poltroons, and dissemblers, illustrating his public policies, his personal defects, his ethical dysfunction, and the consequences of his Presidency on the lives of Americans ― in a format that is cleverly designed to reflect the commander-in-chief s attention span and mental level.",Ann Telnaes,Ann Telnaes,,,24 Pages,January 10 2018
Heavy Metal,Taarna,Taarna #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/628890/628890._SX360_QL80_TTD_.jpg,Heavy Metals iconic warrior debuts in her pulse-pounding new series! A city besieged by demons seeks salvation when a hero from forgotten legends mysteriously arrives...,Alex de Campi,"Esau Escorza, Isaac Escorza",,Carlos Cabrera,24 Pages,January 10 2018
Bedside Press,Window Horses,Window Horses,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/618574/7121bf8903277b87e359cf76eb387ee8._SX360_QL80_TTD_.jpg,"Window Horses is the graphic novelization of the award-winning NFB film by Ann Marie Fleming, starring Sandra Oh. The story follows Rosie Ming, a young Chinese/Persian poet as she leaves her home in Vancouver for the first time to visit Shiraz, Iran.

Here she discovers the beauty of poetry, history, and new friendships and learns the true story about her estranged Iranian father.

A touching, beautiful and emotional film, its been translated to graphic novel format.",Ann Marie Fleming,"Nathaniel Akin, Sadaf Amini, Lillian Chan, Elisa Chee, Dominique Doktor, Younger Ge, Brad Gibson, Ian Godfrey, Bahram Javaheri, Louise Johnson, Jody Kramer, Kevin Langdale, Janet Perlman, Kunal Sen",,,274 Pages,January 10 2018
Resolution Independent Comics,Wynter Dark,Wynter Dark #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/582147/582147._SX360_QL80_TTD_.jpg,"To Sow a Bitter Harvest
Wynter Dark begins with this issue 1 that releases the first two chapters of this series! Set in the next ice age after a planet wide apocalypse has all but wiped out the human population - issue one is an epic start to the ongoing comic book series; Wynter Dark.",Pete James Ford,Jed Dougherty,,"Seth Justus Mr, Seth Justus Mr",45 Pages,January 10 2018
BUBBLE,Allies,Allies #8,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/605919/605919._SX360_QL80_TTD_.jpg,"Pavlovian Reflex, part 1
Lotta Lemke. Professional, hero and a good friend. But on one unfortunate day all of this had to be set aside when she transformed into the blood-thirsty beast that destroys everything in its path. What has turned her into the monster that is feared by her own teammates?",Natalia Devova,"Denis Popov, Alina Erofeeva",,Victoria Vinogradova,25 Pages,January 10 2018
BUBBLE,Realmwalkers,Realmwalkers #8,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/605924/a315dfaf09444cdb6daf490ef0b6b079._SX360_QL80_TTD_.jpg,"Moon, part 2
Wolf finds himself in his own adventure when a girl named Moon takes him away from the team. Where does Wolf know her from? And what does she want?",Evgeniy Fedotov,"Denis Popov, Anna Rud",,Anastasia Troitskaya,22 Pages,January 10 2018
Queer Comix,The Pride Adventures,The Pride Adventures #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/613774/15561b113543356a90b5207596f51195._SX360_QL80_TTD_.jpg,"Collecting the new shorts created for the Collected Edition during the hugely successful Kickstarter, and a short originally printed in the Cardiff Independent Comic Expo 2015 Anthology, The Pride Adventures #4 features the stories for the first time in a single issue of their own!

Wolf takes on a dangerous new enemy. Cub finds himself making a strong statement. Angel and the team throw shade. Twink and FabMan take on a dangerous extremist. Muscle Mary and Frost share an important personal moment, and finally, take a look back before The Pride #1, as Bear faces something that makes him consider joining the team.","Mike Garley, Joe Glass","Andy Bennett, Andy W Clift, Tana Ford, Chris Imber, Gavin Mitchell, Ben Wilsonham",,Ben Wilsonham,30 Pages,January 10 2018
Big Punch Studios,Extraversal,Extraversal #11,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620674/7f4fb4bd6e5f4196f1f6e0d02c1ec5fe._SX360_QL80_TTD_.jpg,"Extraversal returns for issue 11 - making it number one, but twice!? We confess: we dont really understand how numbers work.

In this issue!

The hunted become the hunters as the crew of the Reflektor pursue a Storm Crow vessel across the Extraverse in CUCKOOS. Anna ventures further into Paragon Fours memories to learn how the Paragons reshaped the world in their image in ORB. Tyler and Elsies tall tales continue in 99 SWORDS, as Elsie finally embraces the life of a Swordhunter. And Cat & Meringues journey through the gutterverse yields yet more puzzles in, you guessed it, CAT & MERINGUE.","Lucy Brown, Jon Lock, Alice White","Nich Angell, Verity Glass, James Stayte",,,45 Pages,January 10 2018
keenspot,Trumps Titans,Trumps Titans vs. Mark Zuckerberg #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/628934/628934._SX360_QL80_TTD_.jpg,"President Donald J. Trump is now the most powerful superhero in the universe and the leader of the greatest super team in history, but will his second term be blocked by the alleged inventor of Facebook, that nerdy genius Mark Zuckerberg? Not if the newest member of Trumps Titans has anything to say about it - Ivanka! The stupidly over the top presidential parody comic is back in an all-new #1 issue, because #3s are for losers and The Donald has a thing for Number Ones!",John Barron,Shawn Remulac,,,26 Pages,January 10 2018
