publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
DC,Green Lanterns (2016-),Green Lanterns (2016-) #39,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606429/606429._SX360_QL80_TTD_.jpg,"“A WORLD OF OUR OWN” finale! Green Lanterns Simon Baz and Jessica Cruz face down a Chimera monster as the conflict on Ungara comes to a head. With the power of a hundred alien races, this beast plans to wash Ungara and the Green Lanterns clean with a red tide of blood and violence.",Tim Seeley,Ronan Cliquet,Ronan Cliquet,Hi-Fi,31 Pages,January 17 2018
DC,Harley Quinn (2016-),Harley Quinn (2016-) #35,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606449/606449._SX360_QL80_TTD_.jpg,"“MAN-BATTER UP” part one! Harley’s in a dark, dark place after the hard right turn her life took...so when the citizens of Coney Island say it was a mysterious “bat” that kidnapped one of her friends, she is not going to take it lying down!",Frank Tieri,Inaki Miranda,Inaki Miranda,Alex Sinclair,31 Pages,January 17 2018
DC,Nightwing (2016-),Nightwing (2016-) #37,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606519/606519._SX360_QL80_TTD_.jpg,"“THE UNTOUCHABLES: RUTHLESS”! Nightwing’s investigation leads him to a former costumed crimefighter and ally! In a special flashback issue illustrated by superstar artist Klaus Janson, Dick Grayson will revisit his time as Robin and see if his past mistakes are the key to the mystery he must resolve today!",Sam Humphries,"Jamal Campbell, Klaus Janson","Jamal Campbell, Klaus Janson","Jamal Campbell, Marcelo Maiolo",31 Pages,January 17 2018
DC,Super Sons (2017-),Super Sons (2017-) #12,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606569/606569._SX360_QL80_TTD_.jpg,"“SUPER SONS OF TOMORROW” epilogue! Superboy and Robin must face the repercussions of the events of “Super Sons of Tomorrow” and how the emotional toll will affect their relationships with each other, their parents and the Teen Titans. Meanwhile, the past rears its ugly head to haunt Damian Wayne—in the form of his mother, Talia Al Ghul!","Patrick Gleason, Peter J. Tomasi","Jorge Jimenez, Tyler Kirkham","Jorge Jimenez, Tyler Kirkham","Tomeu Morey, Alejandro Sanchez",29 Pages,January 17 2018
DC,Superman (2016-),Superman (2016-) #39,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606584/606584._SX360_QL80_TTD_.jpg,"""UPON A STAR!"" What would it be like to fly with the Man of Steel? Some very special children find out as Superman fulfills some unique wishes.","Patrick Gleason, Peter J. Tomasi",Barry Kitson,"Scott Hanna, Barry Kitson",Gabe Eltaeb,30 Pages,January 17 2018
DC,Trinity (2016-),Trinity (2016-) #17,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606669/606669._SX360_QL80_TTD_.jpg,"“NO HOME FOR YOU HERE” part one! Batman and Superman embarked on a quest to help Wonder Woman rediscover Themyscira, but finding Diana’s lost homeland proves more difficult than these three heroes expected. While on their journey, a distress call from a nearby ship turns out to be more than meets the eye, and the Trinity find themselves marooned on the dread island of Skartaris. To make their way back home, our heroes will have to overcome Deimos, who will stop at nothing to seal off Skartaris from the rest of world forever!","Francis Manapul, James Robinson",Patch Zircher,Patch Zircher,Gabe Eltaeb,29 Pages,January 17 2018
DC,Wonder Woman/Conan (2017-),Wonder Woman/Conan (2017-) #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606684/606684._SX360_QL80_TTD_.jpg,The road to Shamar is long—and thralls of the Corvidae threaten every step. But Conan will persevere in Diana’s quest to protect the town…though he might be equally interested in revenge against the slaver who sold them into peril on the high seas! Co-published with Dark Horse Comics!,Gail Simone,Aaron Lopresti,Matt Ryan,"Tony Avina, Wendy Broome",33 Pages,January 17 2018
Dynamite,James Bond: The Body,James Bond: The Body #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617468/617468._SX360_QL80_TTD_.jpg,"As Bond undergoes a post-mission medical examination, he relays the story of his previous mission to the examiner. Each cut, bruise, and broken bone connected to a specific event of the mission. A connection is made between two people with different purposes: one to save lives, the other to take them.",Ales Kot,Luca Casalanguida,,,27 Pages,January 17 2018
Dynamite,Killer Instinct,Killer Instinct #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607459/607459._SX360_QL80_TTD_.jpg,"Jago is under attack by the Coven’s wendigo army – but the unexpected arrival of Tusk turns the tide of the battle! The two warriors compare notes – and decided to investigate the loss of their guardian spirits! Meanwhile, the ancient sorcerer Kan-Ra begins his own investigations...",Ian Edginton,Cam Adams,,,31 Pages,January 17 2018
Dynamite,Librarians,Librarians #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/585485/585485._SX360_QL80_TTD_.jpg,"Hot on the trail of the sudden abduction of cult film director Sol Schick by his suddenly powerful assistant Orson Orville, the Librarians uncover the shocking secret behind the mystery they’ve been trying to uncover: In an alternate timeline where magic is used as a global weapon, a group of all-powerful wizards have set their eyes on our Earth -- and the invasion is about to begin.",Will Pfeifer,Rodney Buchemi,,,28 Pages,January 17 2018
